Date,AAPL,AMZN,BAC,CA,CHD,MS,TSLA
2017-03-30,143.929993,876.340027,23.870001,31.780001,50.029999,43.43,277.920013
2017-03-31,143.660004,886.539978,23.59,31.719999,49.869999,42.84,278.299988
2017-04-03,143.699997,891.51001,23.59,31.59,49.889999,42.709999,298.519989
2017-04-04,144.770004,906.830017,23.440001,31.65,49.75,42.509998,303.700012
2017-04-05,144.020004,909.280029,23.17,31.73,49.57,41.740002,295.0
2017-04-06,143.660004,898.280029,23.26,31.799999,49.759998,42.09,298.700012
2017-04-07,143.339996,894.880005,23.16,31.879999,49.549999,41.950001,302.540009
2017-04-10,143.169998,907.039978,23.02,31.82,49.880001,41.91,312.390015
2017-04-11,141.630005,902.359985,22.92,31.98,50.009998,41.580002,308.709991
2017-04-12,141.800003,896.22998,22.65,31.709999,50.02,41.07,296.839996
2017-04-13,141.050003,884.669983,22.34,31.65,49.799999,40.689999,304.0
2017-04-17,141.830002,901.98999,22.809999,31.790001,50.34,41.490002,301.440002
2017-04-18,141.199997,903.780029,22.709999,31.860001,50.700001,41.209999,300.25
2017-04-19,140.679993,899.200012,22.74,32.0,50.650002,42.040001,305.519989
2017-04-20,142.440002,902.059998,23.07,32.139999,50.27,42.5,302.51001
2017-04-21,142.270004,898.530029,22.709999,31.93,50.25,41.799999,305.600006
2017-04-24,143.639999,907.409973,23.629999,32.529999,50.389999,43.560001,308.029999
2017-04-25,144.529999,907.619995,23.98,32.599998,50.299999,44.27,313.790009
2017-04-26,143.679993,909.289978,23.889999,32.700001,49.790001,44.369999,310.170013
2017-04-27,143.789993,918.380005,23.65,32.849998,49.779999,43.540001,308.630005
2017-04-28,143.649994,924.98999,23.34,32.830002,49.529999,43.369999,314.070007
2017-05-01,146.580002,948.22998,23.610001,32.799999,49.32,43.740002,322.829987
2017-05-02,147.509995,946.940002,23.530001,32.610001,48.830002,43.349998,318.890015
2017-05-03,147.059998,941.030029,23.77,32.720001,48.75,43.48,311.019989
2017-05-04,146.529999,937.530029,23.85,32.959999,50.849998,43.279999,295.459991
2017-05-05,148.960007,934.150024,23.74,32.689999,50.779999,43.080002,308.350006
2017-05-08,153.009995,949.039978,23.959999,32.32,50.619999,43.02,307.190002
2017-05-09,153.990005,952.820007,23.98,32.049999,50.290001,42.830002,321.26001
2017-05-10,153.259995,948.950012,24.15,32.27,50.869999,43.099998,325.220001
2017-05-11,153.949997,947.619995,24.07,32.040001,50.669998,42.869999,323.100006
2017-05-12,156.100006,961.349976,24.0,31.610001,50.200001,42.73,324.809998
2017-05-15,155.699997,957.969971,24.059999,31.690001,50.25,43.43,315.880005
2017-05-16,155.470001,966.070007,23.99,31.709999,49.48,43.380001,317.01001
