Date,AAL,DAL,JBLU,LUV
2012-11-02,12.146123,9.19119,5.33,8.683728
2012-11-05,12.252753,9.257519,5.29,8.693346
2012-11-06,12.281833,9.513352,5.35,8.799126
2012-11-07,12.204287,9.4186,5.21,8.664495
2012-11-08,12.621113,9.750239,5.4,8.827975
2012-11-09,12.223671,9.655487,5.31,8.712582
2012-11-12,11.913477,9.759716,5.33,8.722193
2012-11-13,12.204287,9.674436,5.28,8.683728
2012-11-14,11.642054,9.058531,4.98,8.424083
2012-11-15,11.690523,8.992204,5.03,8.501014
2012-11-16,11.399714,8.840596,4.96,8.587564
2012-11-19,11.700215,9.049056,5.0,8.751046
2012-11-20,12.10735,9.172237,5.02,8.76066
2012-11-21,12.087961,9.210141,5.06,8.87606
2012-11-23,12.117042,9.323845,5.1,9.010691
2012-11-26,12.524175,9.285944,5.08,9.03954
2012-11-27,12.330302,9.304895,5.06,8.933762
2012-11-28,12.572643,9.475452,5.08,9.068391
2012-11-29,12.601725,9.522829,5.13,9.135705
2012-11-30,12.495092,9.475452,5.14,9.164556
2012-12-03,12.272141,9.115387,5.13,9.078005
2012-12-04,12.000718,9.219613,5.17,9.270541
2012-12-05,11.738991,9.200665,5.22,9.42457
2012-12-06,12.223671,9.494405,5.23,9.511209
2012-12-07,12.378771,9.579683,5.24,9.443824
2012-12-10,12.388464,9.608109,5.27,9.472702
2012-12-11,12.4854,10.100832,5.43,9.742253
2012-12-12,12.310916,10.157686,5.43,9.645982
2012-12-13,12.572643,10.697787,5.58,9.761504
2012-12-14,12.436933,10.631458,5.53,9.809639
2012-12-17,12.398158,10.640933,5.71,9.973292
2012-12-18,12.553254,10.925196,5.83,10.108068
2012-12-19,13.067018,11.20946,5.87,10.165829
2012-12-20,13.125181,11.313689,5.94,10.146575
2012-12-21,13.028245,11.237885,5.8,10.06956
2012-12-24,12.921616,11.162084,5.75,10.04068
2012-12-26,12.824677,11.038901,5.73,9.92516
2012-12-27,12.698662,10.963099,5.68,9.877023
2012-12-28,12.398158,10.89677,5.58,9.780757
2012-12-31,13.086406,11.247361,5.72,9.857771
2013-01-02,13.551699,11.588479,5.9,10.079186
2013-01-03,13.241503,11.92012,5.95,10.319855
2013-01-04,14.278722,12.299137,5.95,10.473886
2013-01-07,14.38535,12.308613,5.97,10.502761
2013-01-08,14.69555,12.299137,5.94,10.618284
2013-01-09,14.666468,12.422318,5.87,10.589403
2013-01-10,14.67616,12.602351,5.81,10.656791
2013-01-11,14.32719,12.649729,5.87,10.637536
2013-01-14,14.220561,12.735007,5.9,10.608657
2013-01-15,13.871592,12.915042,5.95,10.666414
2013-01-16,14.181787,13.18983,6.18,10.858953
2013-01-17,14.036383,13.104552,6.19,10.974473
2013-01-18,13.997606,12.896091,6.12,10.839699
2013-01-22,14.395046,13.275111,6.33,11.051486
2013-01-23,14.608306,13.057172,6.28,10.935965
2013-01-24,14.220561,13.199307,6.29,11.022607
2013-01-25,14.51137,13.426717,6.35,11.01298
2013-01-28,14.569533,13.208779,6.23,11.003352
2013-01-29,13.978219,12.96242,6.07,10.907086
2013-01-30,13.861897,13.114025,5.8,10.820445
2013-01-31,13.842508,13.161403,5.81,10.791565
2013-02-01,13.68741,13.095075,5.8,10.810817
2013-02-04,13.561393,13.132976,5.74,10.762687
2013-02-05,13.65833,13.199307,5.75,10.849326
2013-02-06,14.113932,13.710979,5.88,11.041861
2013-02-07,14.647082,14.080523,5.89,11.176634
2013-02-08,14.298111,13.853111,5.92,11.205514
2013-02-11,14.016995,13.91944,5.88,11.21514
2013-02-12,13.832817,13.739405,5.9,11.118875
2013-02-13,14.210867,14.004719,5.98,11.176634
2013-02-14,13.561393,13.493042,5.91,11.041861
