,Adj Close,Close,Date,Ticker
408,11.09,11.09,2017-10-02,AES
409,160.440002,160.440002,2017-10-02,AET
410,81.970001,81.970001,2017-10-02,AFL
411,210.979996,210.979996,2017-10-02,AGN
412,61.860001,61.860001,2017-10-02,AIG
413,43.98,43.98,2017-10-02,AIV
414,95.660004,95.660004,2017-10-02,AIZ
415,61.689999,61.689999,2017-10-02,AJG
416,50.0,50.0,2017-10-02,AKAM
417,136.619995,136.619995,2017-10-02,ALB
418,187.220001,187.220001,2017-10-02,ALGN
419,77.029999,77.029999,2017-10-02,ALK
420,92.379997,92.379997,2017-10-02,ALL
421,86.529999,86.529999,2017-10-02,ALLE
422,140.919998,140.919998,2017-10-02,ALXN
423,52.080002,52.080002,2017-10-02,AMAT
424,12.71,12.71,2017-10-02,AMD
425,66.830002,66.830002,2017-10-02,AME
426,192.600006,192.600006,2017-10-02,AMG
427,187.169998,187.169998,2017-10-02,AMGN
428,148.669998,148.669998,2017-10-02,AMP
429,135.860001,135.860001,2017-10-02,AMT
430,959.190002,959.190002,2017-10-02,AMZN
431,103.75,103.75,2017-10-02,ANDV
432,123.779999,123.779999,2017-10-02,ANSS
433,191.110001,191.110001,2017-10-02,ANTM
434,147.289993,147.289993,2017-10-02,AON
435,59.990002,59.990002,2017-10-02,AOS
436,45.720001,45.720001,2017-10-02,APA
437,49.380001,49.380001,2017-10-02,APC
438,151.256866,152.199997,2017-10-02,APD
439,84.769997,84.769997,2017-10-02,APH
440,118.739998,118.739998,2017-10-02,ARE
441,25.92,25.92,2017-10-02,ARNC
442,63.389999,63.389999,2017-10-02,ATVI
443,177.589996,177.589996,2017-10-02,AVB
444,240.470001,240.470001,2017-10-02,AVGO
445,99.419998,99.419998,2017-10-02,AVY
446,81.769997,81.769997,2017-10-02,AWK
447,90.191803,90.540001,2017-10-02,AXP
448,170.080002,170.080002,2017-10-02,AYI
449,597.619995,597.619995,2017-10-02,AZO
450,255.990005,255.990005,2017-10-02,BA
451,25.620001,25.620001,2017-10-02,BAC
452,63.16,63.16,2017-10-02,BAX
453,47.16,47.16,2017-10-02,BBT
454,57.419998,57.419998,2017-10-02,BBY
455,321.049988,321.049988,2017-10-02,BCR
456,196.289993,196.289993,2017-10-02,BDX
457,44.73,44.73,2017-10-02,BEN
458,60.990002,60.990002,2017-10-02,BHF
459,36.860001,36.860001,2017-10-02,BHGE
460,316.170013,316.170013,2017-10-02,BIIB
461,53.650002,53.650002,2017-10-02,BK
462,449.950012,449.950012,2017-10-02,BLK
463,41.360001,41.360001,2017-10-02,BLL
464,64.171082,64.559998,2017-10-02,BMY
465,29.469999,29.469999,2017-10-02,BSX
466,51.849998,51.849998,2017-10-02,BWA
467,121.93,121.93,2017-10-02,BXP
468,73.800003,73.800003,2017-10-02,C
469,33.669998,33.669998,2017-10-02,CA
470,33.34,33.34,2017-10-02,CAG
471,68.239998,68.239998,2017-10-02,CAH
472,124.720001,124.720001,2017-10-02,CAT
473,145.490005,145.490005,2017-10-02,CB
474,38.220001,38.220001,2017-10-02,CBG
475,108.18,108.18,2017-10-02,CBOE
476,58.549999,58.549999,2017-10-02,CBS
477,99.690002,99.690002,2017-10-02,CCI
478,64.43,64.43,2017-10-02,CCL
479,39.700001,39.700001,2017-10-02,CDNS
480,146.039993,146.039993,2017-10-02,CELG
481,72.330002,72.330002,2017-10-02,CERN
482,35.400002,35.400002,2017-10-02,CF
483,37.220001,37.220001,2017-10-02,CFG
484,47.93,47.93,2017-10-02,CHD
485,4.35,4.35,2017-10-02,CHK
486,77.300003,77.300003,2017-10-02,CHRW
487,110.529999,110.529999,2017-10-02,MAR
488,119.787384,120.330002,2017-10-02,MON
489,35.349998,35.349998,2017-10-02,NOV
490,367.399994,367.399994,2017-10-06,CHTR
491,190.949997,190.949997,2017-10-06,CI
492,76.699997,76.699997,2017-10-06,CINF
493,72.720001,72.720001,2017-10-06,CL
494,129.139999,129.139999,2017-10-06,CLX
495,76.919998,76.919998,2017-10-06,CMA
496,38.009998,38.009998,2017-10-06,CMCSA
497,137.199997,137.199997,2017-10-06,CME
498,307.640015,307.640015,2017-10-06,CMG
499,172.110001,172.110001,2017-10-06,CMI
500,46.299999,46.299999,2017-10-06,CMS
501,98.010002,98.010002,2017-10-06,CNC
502,28.879999,28.879999,2017-10-06,CNP
503,87.040001,87.040001,2017-10-06,COF
504,25.709999,25.709999,2017-10-06,COG
505,39.830002,39.830002,2017-10-06,COH
506,132.619995,132.619995,2017-10-06,COL
507,241.330002,241.330002,2017-10-06,COO
508,48.860001,48.860001,2017-10-06,COP
509,157.089996,157.089996,2017-10-06,COST
510,16.879999,16.879999,2017-10-06,COTY
511,46.48,46.48,2017-10-06,CPB
512,96.32,96.32,2017-10-06,CRM
513,33.75,33.75,2017-10-06,CSCO
514,31.35,31.35,2017-10-06,CSRA
515,52.349998,52.349998,2017-10-06,CSX
516,149.080002,149.080002,2017-10-06,CTAS
517,20.0,20.0,2017-10-06,CTL
518,73.800003,73.800003,2017-10-06,CTSH
519,79.470001,79.470001,2017-10-06,CTXS
520,76.919998,76.919998,2017-10-06,CVS
521,117.029999,117.029999,2017-10-06,CVX
522,134.910004,134.910004,2017-10-06,CXO
523,76.809998,76.809998,2017-10-06,D
524,52.009998,52.009998,2017-10-06,DAL
525,128.130005,128.130005,2017-10-06,DE
526,65.75,65.75,2017-10-06,DFS
527,80.330002,80.330002,2017-10-06,DG
528,92.419998,92.419998,2017-10-06,DGX
529,41.080002,41.080002,2017-10-06,DHI
530,87.629997,87.629997,2017-10-06,DHR
531,100.07,100.07,2017-10-06,DIS
532,21.41,21.41,2017-10-06,DISCA
533,20.25,20.25,2017-10-06,DISCK
534,53.330002,53.330002,2017-10-06,DISH
535,100.449997,100.449997,2017-10-06,DLPH
536,118.220001,118.220001,2017-10-06,DLR
537,89.419998,89.419998,2017-10-06,DLTR
538,94.07,94.07,2017-10-06,DOV
