,prev_date,curr_date,ticker,prev_value,curr_value,change_pct
1458,2017-09-06,2017-09-07,l,46.111427,45.062759,-0.0227420417937
1459,2017-09-06,2017-09-07,m,21.480986,21.04497,-0.0202977647302
1460,2017-09-06,2017-09-07,p,8.42,8.33,-0.0106888361045
1461,2017-09-06,2017-09-07,s,8.13,7.97,-0.019680196802
1462,2017-09-06,2017-09-07,w,73.059998,73.800003,0.0101287300884
1463,2017-09-07,2017-09-08,a,65.006065,64.886314,-0.00184215119005
1464,2017-09-07,2017-09-08,b,63.131229,64.807541,0.0265528174653
1465,2017-09-07,2017-09-08,c,65.777161,65.886688,0.00166512203225
1466,2017-09-07,2017-09-08,d,77.532707,78.513634,0.0126517832016
1467,2017-09-07,2017-09-08,f,11.26018,11.220671,-0.0035087360948
1468,2017-09-07,2017-09-08,g,28.057211,27.917473,-0.00498046651893
