Date,AAL,AAPL,AMZN,BAC,MSFT,PCLN,PEP
2017-09-25,47.700001,150.550003,939.789978,24.76,73.260002,1829.550049,111.940002
2017-09-26,47.580002,153.139999,938.599976,24.809999,73.260002,1825.920044,111.809998
2017-09-27,46.849998,154.229996,950.869995,25.41,73.849998,1818.98999,111.099998
2017-09-28,47.490002,153.279999,956.400024,25.450001,73.870003,1811.689941,111.639999
2017-09-29,47.490002,154.119995,961.349976,25.34,74.489998,1830.819946,111.43
2017-10-02,47.73,153.809998,959.190002,25.620001,74.610001,1857.469971,109.120003
2017-10-03,50.509998,154.479996,957.099976,25.860001,74.260002,1867.650024,109.129997
2017-10-04,50.73,153.479996,965.450012,25.709999,74.690002,1888.699951,109.339996
2017-10-05,50.560001,155.389999,980.849976,26.129999,75.970001,1909.609985,110.449997
2017-10-06,51.299999,155.300003,989.580017,26.209999,76.0,1918.0,110.400002
2017-10-09,50.599998,155.839996,990.98999,25.85,76.290001,1926.930054,110.010002
